year,tid,coid
2019,19,1
2020,19,1
2019,21,2
2020,21,2
2019,2,3
2020,2,3
2019,23,4
2020,23,4
2019,26,5
2019,20,6
2020,20,6
2019,13,7
2020,13,7
2019,9,8
2020,9,8
2019,16,9
2020,16,9
2020,14,10
2019,5,11
2019,27,12
2020,27,12
2019,24,13
2019,15,14
2019,4,15
2020,4,15
2020,5,16
2020,6,17
2019,3,18
2020,3,18
2019,1,19
2020,1,19
2019,14,20
2020,26,20
2019,17,21
2020,17,21
2019,11,22
2020,11,22
2019,8,23
2020,8,23
2020,24,24
2019,12,25
2020,12,25
2019,28,26
2020,28,26
2019,29,27
2020,29,27
2019,7,28
2020,7,28
2020,18,29
2019,30,30
2020,30,30
2019,22,31
2020,22,31
2019,10,32
2020,10,32
2020,15,33
2019,25,34
2020,25,34
2019,18,35
2019,6,36
